IRALCFY,IRALCAGE,SCHFELT,TCHGJOB,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,YOFIGHT2,YOSTOLE2,PRALDLY2,YFLADLY2,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,DRPRVME3,ANYEDUC3,EDUSKPCOM,INCOME,GOVTPROG,POVERTY3
991,991,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,99,3,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,98,3,1,3
991,991,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,94,3,2,3
1,16,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,0,3,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,2,1,2
991,991,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,4,1,2
991,991,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,0,4,2,3
993,6,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,99,2,2,2
991,991,1,1,1,1,2,1,1,2,2,1,1,1,NA,2,2,NA,NA,0,2,2,1
991,991,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,0,4,2,3
991,991,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2
1,12,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,0,2,1,2
991,991,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,99,4,2,3
991,991,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2
991,991,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,99,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,0,4,2,3
12,14,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,2,2,2
991,991,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,0,3,2,3
52,15,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,10,4,2,3
991,991,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,0,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,NA,0,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,1,3
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,3,1,2
991,991,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,99,2,1,1
991,991,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,0,3,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,2,1,1,1,2,2,1,2,2,1,1,1,NA,NA,NA,1,1,0,2,1,1
991,991,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,7,2,2,1
991,991,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,0,4,2,3
2,13,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,98,2,2,1
991,991,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,0,4,1,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,0,1,2,1
4,14,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,99,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,99,2,1,1
993,13,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,5,2,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,99,4,2,3
1,13,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,1,2,1
991,991,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,94,4,2,3
4,15,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,99,4,2,3
991,991,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2
1,16,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,4,2,2,2
991,991,1,1,1,1,2,1,1,2,2,1,1,1,NA,2,2,2,1,2,4,2,3
991,991,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,0,2,1,1
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,99,2,2,1
991,991,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,98,4,2,3
991,991,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,0,4,2,3
991,991,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,0,3,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,NA,2,2,2,1,0,4,2,3
991,991,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,0,2,2,2
991,991,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,2,99,1,2,1
991,991,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,99,3,2,3
991,991,1,1,1,1,1,NA,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,99,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,99,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,0,2,1,1
991,991,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,98,2,2,2
991,991,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,3,1,2
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,98,3,2,2
993,13,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,99,4,1,3
991,991,1,1,NA,1,2,2,1,1,2,2,2,1,2,2,2,1,1,0,2,2,2
991,991,1,1,NA,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,2,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,0,4,2,3
991,991,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,99,2,1,1
991,991,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,6,2,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,1,2,1
991,991,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,99,4,2,3
4,15,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,0,4,2,3
991,991,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,4,2,3
993,16,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,4,2,1,1
991,991,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,0,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,99,4,2,3
991,991,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,0,3,1,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,99,4,2,3
991,991,1,1,1,1,1,1,1,2,2,NA,1,1,2,2,2,NA,NA,0,4,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
5,14,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,0,4,1,3
991,991,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,99,2,2,1
991,991,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,4,2,3
991,991,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,5,1,1,1
